Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
Hedge-Hedge,10,AdultIncome,0.95+0.9,0.050575586218165894,0.0518445252926219,0.000518445252926219
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.045809160628888686,0.039269733012544474,0.00039269733012544473
Hedge-Hedge,16,AdultIncome,0.95+0.9,0.045809160628888686,0.039269733012544474,0.00039269733012544473
Hedge-Hedge,19,AdultIncome,0.95+0.9,0.03466640625413868,0.023883349125009324,0.0002909451213362893
Hedge-Hedge,22,AdultIncome,0.95+0.9,0.029279165824495017,0.023883349125009324,0.0002122419037223562
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.029279165824495017,0.023883349125009324,0.00012981671642190508
Hedge-Hedge,28,AdultIncome,0.95+0.9,0.029279165824495017,0.023883349125009324,7.049428721653986e-05
Hedge-Hedge,31,AdultIncome,0.95+0.9,0.02599990093887227,0.021505153138650954,8.071365508027381e-05
Hedge-Hedge,34,AdultIncome,0.95+0.9,0.02599990093887227,0.021505153138650954,8.071365508027381e-05
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.022262496535793496,0.021505153138650954,8.071365508027381e-05
Hedge-Hedge,40,AdultIncome,0.95+0.9,0.022262496535793496,0.014915801119617884,0.00014915801119617884
Hedge-Hedge,43,AdultIncome,0.95+0.9,0.022262496535793496,0.014915801119617884,0.00014915801119617884
Hedge-Hedge,46,AdultIncome,0.95+0.9,0.019996411470971913,0.014915801119617884,0.00014915801119617884
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.014197511490995155,0.014915801119617884,0.00014915801119617884
OGD-OGD,1,AdultIncome,0.95+0.9,0.12526420489866966,0.12787999336979947,0.0012787999336979947
OGD-OGD,4,AdultIncome,0.95+0.9,0.029580717357673297,0.04682579148019229,0.00031209198530300847
OGD-OGD,7,AdultIncome,0.95+0.9,0.017104569105811443,0.04682579148019229,0.00031209198530300847
OGD-OGD,10,AdultIncome,0.95+0.9,0.017104569105811443,0.04682579148019229,0.00031209198530300847
OGD-OGD,13,AdultIncome,0.95+0.9,0.10979696440567398,0.07055168514822883,0.0011737747662842113
OGD-OGD,16,AdultIncome,0.95+0.9,0.012121799211346207,0.04682579148019229,0.0003874766738148943
OGD-OGD,19,AdultIncome,0.95+0.9,0.012121799211346207,0.04682579148019229,0.0003874766738148943
OGD-OGD,22,AdultIncome,0.95+0.9,0.012121799211346207,0.04682579148019229,0.0003874766738148943
OGD-OGD,25,AdultIncome,0.95+0.9,0.0065809729892638445,0.04682579148019229,0.0003874766738148943
OGD-OGD,28,AdultIncome,0.95+0.9,0.0060025338944883905,0.04682579148019229,0.0003874766738148943
