Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
Hedge,25,AdultIncome,0.8+0,0.031767903080383006,0.026262393402721965,0.0007683873091949264,0.021809400974041857
Hedge,37,AdultIncome,0.8+0,0.03164644297497145,0.02624459315406713,0.0007681049171120388,0.0217987235221374
Hedge,49,AdultIncome,0.8+0,0.03163768892455397,0.02624146238766425,0.0007680726458652537,0.021797441071785464
Hedge,61,AdultIncome,0.8+0,0.031637013720022006,0.026241638348001427,0.0007680719467148081,0.021797477947489714
Hedge,73,AdultIncome,0.8+0,0.031636963483745506,0.026241619743435116,0.0007680717972288646,0.021797470473196415
Hedge,85,AdultIncome,0.8+0,0.03163696021101159,0.026241620296140585,0.0007680717947061929,0.021797470537730113
Hedge,97,AdultIncome,0.8+0,0.03163696001135917,0.02624162025038125,0.0007680717940617626,0.021797470517022834
Prod,1,AdultIncome,0.95+0,0.0924949464021469,0.09548772756090941,0.0010971469975545702,0.09063706810567512
Prod,13,AdultIncome,0.95+0,0.011273064944215707,0.02597975868080298,0.0004575022037744355,0.027692341177998927
Prod,25,AdultIncome,0.95+0,0.005961584664109104,0.028531748451132752,0.00035660858522417035,0.028646973166342207
Prod,37,AdultIncome,0.95+0,0.00441344659374835,0.029099983219076298,0.0003634737216701743,0.029574948730117307
Prod,49,AdultIncome,0.95+0,0.0036297915559763477,0.023465880518050212,0.0003631903158795081,0.02536752216936349
