Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
OGD-OGD,37,AdultIncome,0.9+0.99,0.011481895493320005,0.03529834944714485,0.0003972893748727141
OGD-OGD,40,AdultIncome,0.9+0.99,0.011481895493320005,0.03529834944714485,0.00039397632299031113
OGD-OGD,43,AdultIncome,0.9+0.99,0.011481895493320005,0.03529834944714485,0.0003915974622610057
OGD-OGD,46,AdultIncome,0.9+0.99,0.011481895493320005,0.03529834944714485,0.0003898824622102924
OGD-OGD,49,AdultIncome,0.9+0.99,0.011481895493320005,0.03529834944714485,0.0003886423735301334
Hedge-Hedge,1,AdultIncome,0.95+0.95,0.12766795142774257,0.1253107906514172,0.001253107906514172
Hedge-Hedge,4,AdultIncome,0.95+0.95,0.09099502913688101,0.08320901707276646,0.001140076418072697
Hedge-Hedge,7,AdultIncome,0.95+0.95,0.09099502913688101,0.08320901707276646,0.001140076418072697
Hedge-Hedge,10,AdultIncome,0.95+0.95,0.052767841429337756,0.05159908229276357,0.0005159908229276357
Hedge-Hedge,13,AdultIncome,0.95+0.95,0.04549003022877529,0.016033752526255225,0.00030656317687610533
Hedge-Hedge,16,AdultIncome,0.95+0.95,0.04549003022877529,0.0226853874531607,0.00030656317687610533
Hedge-Hedge,19,AdultIncome,0.95+0.95,0.04549003022877529,0.0226853874531607,0.00030656317687610533
Hedge-Hedge,22,AdultIncome,0.95+0.95,0.04549003022877529,0.0226853874531607,0.00030656317687610533
Hedge-Hedge,25,AdultIncome,0.95+0.95,0.021859443621151522,0.0226853874531607,0.00010562984030360406
Hedge-Hedge,28,AdultIncome,0.95+0.95,0.021859443621151522,0.0226853874531607,7.581754495144345e-05
Hedge-Hedge,31,AdultIncome,0.95+0.95,0.021859443621151522,0.0226853874531607,7.581754495144345e-05
Hedge-Hedge,34,AdultIncome,0.95+0.95,0.021859443621151522,0.0226853874531607,7.581754495144345e-05
Hedge-Hedge,37,AdultIncome,0.95+0.95,0.021859443621151522,0.0226853874531607,7.652779054961342e-05
