Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
GD,61,Bank Market,0.85+0,0.15440101693265626,0.2336242778567245,0.0029358185541340526,0.21665985081774927
GD,73,Bank Market,0.85+0,0.15446834185839228,0.2336242778567245,0.002936315306659613,0.21665985081774927
GD,85,Bank Market,0.85+0,0.15447790285686927,0.2336242778567245,0.0029363856827348935,0.21665985081774927
GD,97,Bank Market,0.85+0,0.15447926710836857,0.2336242778567245,0.0029363959178962213,0.21665985081774927
OGD,1,Bank Market,0.9+0,0.36034683094812564,0.3562594215777885,0.0035625942157778852,0.3519460311975624
OGD,13,Bank Market,0.9+0,0.04016507406838236,0.04670882039589294,0.00037586363369163296,0.049029986010908376
OGD,25,Bank Market,0.9+0,0.006320303155032301,0.031136866474831295,0.0003132666764352751,0.03358962739733049
OGD,37,Bank Market,0.9+0,0.005020809990861363,0.030766151309409812,0.0003275305753388753,0.03335847469578575
OGD,49,Bank Market,0.9+0,0.010445933947758964,0.04022163953634689,0.0003432244875046442,0.045371010863584575
OGD,61,Bank Market,0.9+0,0.009711523786535586,0.04070488015806867,0.00034824586947352395,0.04582794223224375
OGD,73,Bank Market,0.9+0,0.009540895860095457,0.04080285997195384,0.0003490450440969843,0.0459193806233713
OGD,85,Bank Market,0.9+0,0.009488350589864929,0.04081877034529492,0.0003490725008191009,0.04593367893027488
OGD,97,Bank Market,0.9+0,0.009475407089934877,0.040824410051544795,0.00034909962504714296,0.04593884065945311
Hedge,1,Bank Market,0.9+0,0.587786177274268,0.5836658475421284,0.005836658475421284,0.5782835810561184
Hedge,13,Bank Market,0.9+0,0.008649721299120896,0.027740843385904074,0.00028402684567500387,0.030571340686335248
Hedge,25,Bank Market,0.9+0,0.005649614839373047,0.037451589845761274,0.00028211854034471595,0.0426951292862611
Hedge,37,Bank Market,0.9+0,0.003962644049790486,0.04383881990103218,0.0002826964571931635,0.04739511547354929
Hedge,49,Bank Market,0.9+0,0.003733559287303941,0.04338008559507755,0.0002808657687102898,0.04695916680820404
Hedge,61,Bank Market,0.9+0,0.0036989127432167064,0.043461902147264614,0.0002825711371624763,0.047037429386132104
Hedge,73,Bank Market,0.9+0,0.0036878840840888867,0.043461902147264614,0.0002826020182066047,0.047037429386132104
Hedge,85,Bank Market,0.9+0,0.0036850001207976786,0.04345510609565209,0.0002825061761380331,0.0470309637101091
Hedge,97,Bank Market,0.9+0,0.003684120470172572,0.04345510609565209,0.00028250863695310295,0.0470309637101091
Prod,1,Bank Market,0.9+0,0.5095122972513886,0.5054032971528047,0.005054032971528047,0.5003888873345831
Prod,13,Bank Market,0.9+0,0.009314180584537621,0.031674012108066876,0.0003649952501230905,0.03832209864438745
Prod,25,Bank Market,0.9+0,0.003688402775646049,0.028314138161672685,0.00030247318866049466,0.03642474334014632
Prod,37,Bank Market,0.9+0,0.003452559779000243,0.02743826679909743,0.00029242322799605264,0.035585882845613676
